"Source ID","IMDb ID","Movie Name","Genre","Rating","Duration"
"TMDB","tt0076759","Star Wars","Adventure, Action, Science Fiction","PG","2H1M"
"Rotten Tomatoes","tt0076759","Star Wars: Episode IV - A New Hope","Sci-Fi, Adventure, Action, Fantasy","PG","2H1M"
"Allmovies.com","tt0076759","Star Wars: Episode IV - A New Hope","Action-Adventure, Drama, Fantasy, Science Fiction","PG","2H1M"
"justwatch.com","tt0076759","Star Wars","Action & Adventure, Science-Fiction, Fantasy, Epic Fantasy, Space Opera","PG","2H1M"
"Metacritic","tt0076759","Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy, Sci-Fi","TV-PG","2H1M"
"OMDB","tt0088763","Back to the Future","Adventure, Comedy, Sci-Fi","PG","1H56M"
"TMDB","tt0088763","Back to the Future","Adventure, Comedy, Science Fiction","PG","1H56M"
"Rotten Tomatoes","tt0088763","Back to the Future Part II","Comedy, Sci-Fi, Fantasy, Adventure","PG","1H47M"
"Allmovies.com","tt0088763","Back to the Future","Action-Adventure, Comedy, Family, Science Fiction","PG","1H56M"
"justwatch.com","tt0088763","Back to the Future","Science-Fiction, Comedy, Sci-Fi Comedy","PG","1H56M"
"Metacritic","tt0088763","Back to the Future","Adventure, Comedy, Sci-Fi","TV-PG","1H56M"
"OMDB","tt0245429","Spirited Away","Animation, Adventure, Family","PG","2H4M"
"TMDB","tt0245429","Spirited Away","Animation, Family, Fantasy","PG","2H5M"
"Rotten Tomatoes","tt0245429","Spirited Away","Fantasy, Adventure, Animation","PG","2H5M"
"Allmovies.com","tt0245429","Spirited Away","Action-Adventure, Anime, Drama, Family, Fantasy","PG","2H5M"
"justwatch.com","tt0245429","Spirited Away","Animation, Kids & Family, Fantasy, Studio Ghibli","PG","2H5M"
"Metacritic","tt0245429","Spirited Away","Animation, Adventure, Family, Fantasy, Mystery","TV-PG","2H5M"
"OMDB","tt0253474","The Pianist","Biography, Drama, Music","R","2H30M"
"TMDB","tt0253474","The Pianist","Drama, War","R","2H30M"
"Rotten Tomatoes","tt0253474","The Pianist","History, Drama, War","R","2H28M"
"Allmovies.com","tt0253474","The Pianist","Biography, Drama, History, Music, War","R","2H30M"
"justwatch.com","tt0253474","The Pianist","Drama, War & Military, Music & Musical, Made in Europe, War Drama","R","2H23M"
"Metacritic","tt0253474","The Pianist","Biography, Drama, Music, War","TV-MA","2H30M"
"OMDB","tt6751668","Parasite","Drama, Thriller","R","2H12M"
"TMDB","tt6751668","Parasite","Comedy, Thriller, Drama","R","2H13M"
"Rotten Tomatoes","tt6751668","Parasite","Comedy, Mystery & Thriller, Drama","R","2H12M"
"Allmovies.com","tt6751668","Parasite","Comedy, Drama, Thriller","R","2H13M"
"justwatch.com","tt6751668","Parasite","Mystery & Thriller, Drama, Comedy, World Cinema","R","2H12M"
"Metacritic","tt6751668","Parasite","Drama, Thriller","R","2H12M"
"OMDB","tt0054215","Psycho","Horror, Mystery, Thriller","R","1H49M"
"TMDB","tt0054215","Psycho","Horror, Thriller, Mystery","R","1H49M"
"Rotten Tomatoes","tt0054215","American Psycho","Comedy, Mystery & Thriller, Horror","R","1H43M"
"Allmovies.com","tt0054215","Psycho","Drama, Horror, Mystery-Suspense, Thriller","R","1H49M"
"justwatch.com","tt0054215","Psycho","Horror, Mystery Thriller, Psychological Thriller","R","1H49M"
"Metacritic","tt0054215","Psycho","Horror, Mystery, Thriller","TV-14","1H49M"
"OMDB","tt0172495","Gladiator","Action, Adventure, Drama","R","2H35M"
"TMDB","tt0172495","Gladiator","Action, Drama, Adventure","R","2H35M"
"Rotten Tomatoes","tt0172495","Gladiator","History, Drama, Adventure, Action","R","2H34M"
"Allmovies.com","tt0172495","Gladiator","Action-Adventure, Drama, Epic, Fantasy, History","R","2H35M"
"justwatch.com","tt0172495","Gladiator","Drama, Action & Adventure, Epic","R","2H35M"
"Metacritic","tt0172495","Gladiator","Action, Adventure, Drama","TV-14","2H35M"
"OMDB","tt0110357","The Lion King","Animation, Adventure, Drama","G","1H28M"
"TMDB","tt0110357","The Lion King","Family, Animation, Drama","G","1H29M"
"Rotten Tomatoes","tt0110357","The Lion King","Kids & Family, Musical, Adventure, Animation","G","1H27M"
"Allmovies.com","tt0110357","The Lion King","Action-Adventure, Animation, Drama, Family, Music","G","1H29M"
"justwatch.com","tt0110357","The Lion King","Drama, Kids & Family, Fantasy, Animation, Action & Adventure, Animated Musical, Family Animation","G","1H25M"
"Metacritic","tt0110357","The Lion King","Animation, Adventure, Drama, Family, Fantasy, Musical","TV-PG","1H29M"
"OMDB","tt9362722","Spider-Man: Across the Spider-Verse","Animation, Action, Adventure","PG","2H20M"
"TMDB","tt9362722","Spider-Man: Across the Spider-Verse","Animation, Action, Adventure, Science Fiction","PG","2H20M"
"Rotten Tomatoes","tt9362722","Spider-Man: Across the Spider-Verse","Kids & Family, Action, Adventure, Comedy, Fantasy, Animation","PG","2H20M"
"Allmovies.com","tt9362722","Spider-Man: Across the Spider-Verse","Action-Adventure, Animation, Drama, Fantasy, Science Fiction","PG","2H22M"
"justwatch.com","tt9362722","Spider-Man: Across the Spider-Verse","Action & Adventure, Science-Fiction, Animation, Fantasy, Modern Anime","PG","2H20M"
"Metacritic","tt9362722","Spider-Man: Across the Spider-Verse","Animation, Action, Adventure, Fantasy, Sci-Fi","PG","2H20M"
"OMDB","tt0407887","The Departed","Crime, Drama, Thriller","R","2H31M"
"TMDB","tt0407887","The Departed","Drama, Thriller, Crime","R","2H31M"
"Rotten Tomatoes","tt0407887","The Departed","Crime, Drama, Mystery & Thriller","R","2H32M"
"Allmovies.com","tt0407887","The Departed","Crime, Drama, Thriller","R","2H31M"
"justwatch.com","tt0407887","The Departed","Crime, Drama, Mystery & Thriller, Organized Crime, Detective Crime","R","2H31M"
"Metacritic","tt0407887","The Departed","Crime, Drama, Thriller","R","2H31M"
"OMDB","tt2582802","Whiplash","Drama, Music","R","1H46M"
"TMDB","tt2582802","Whiplash","Drama, Music","R","1H47M"
"Rotten Tomatoes","tt2582802","Whiplash","Drama, Music","R","1H46M"
"Allmovies.com","tt2582802","Whiplash","Drama, Music","R","1H47M"
"justwatch.com","tt2582802","Whiplash","Drama, Music & Musical","R","1H47M"
"Metacritic","tt2582802","Whiplash","Drama, Music","TV-14","1H47M"
"OMDB","tt0095327","Grave of the Fireflies","Animation, Drama, War","Not Rated","1H28M"
"TMDB","tt0095327","Grave of the Fireflies","Animation, Drama, War","NR","1H29M"
"OMDB","tt0120586","American History X","Crime, Drama","R","1H59M"
"TMDB","tt0120586","American History X","Drama","R","1H59M"
"Rotten Tomatoes","tt0120586","American History X","Drama","R","1H58M"
"Allmovies.com","tt0120586","American History X","Crime, Drama","R","1H59M"
"justwatch.com","tt0120586","American History X","Drama, Crime, Antihero","R","1H59M"
"Metacritic","tt0120586","American History X","Crime, Drama","TV-MA","1H59M"
"OMDB","tt0110413","Léon: The Professional","Action, Crime, Drama","R","1H50M"
"TMDB","tt0110413","Léon: The Professional","Crime, Drama, Action","R","1H51M"
"Rotten Tomatoes","tt0110413","The Professional","Mystery & Thriller, Action, Crime, Drama","R","1H55M"
"Allmovies.com","tt0110413","Léon: The Professional","Action-Adventure, Comedy, Crime, Drama, Thriller","R","2H13M"
"justwatch.com","tt0110413","Léon: The Professional","Drama, Action & Adventure, Crime, Mystery & Thriller, Made in Europe, Action Thriller","R","1H51M"
