"IMDb ID","Movie Name","Genre","Rating","Duration"
"tt0405159","Million Dollar Baby","Drama, Sport","PG-13","2H12M"
"tt0096283","My Neighbor Totoro","Animation, Comedy, Family","G","1H26M"
"tt1392190","Mad Max: Fury Road","Action, Adventure, Sci-Fi","R","2H"
"tt0118849","Children of Heaven","Drama, Family, Sport","PG","1H29M"
"tt0052618","Ben-Hur","Adventure, Drama","G","3H32M"
"tt2024544","12 Years a Slave","Biography, Drama, History","R","2H14M"
"tt0072684","Barry Lyndon","Adventure, Drama, War","PG","3H5M"
"tt0112471","Before Sunrise","Drama, Romance","R","1H41M"
"tt0083658","Blade Runner","Action, Drama, Sci-Fi","R","1H57M"
"tt2278388","The Grand Budapest Hotel","Adventure, Comedy, Crime","R","1H39M"
"tt2119532","Hacksaw Ridge","Biography, Drama, History","R","2H19M"
"tt2267998","Gone Girl","Drama, Mystery, Thriller","R","2H29M"
"tt0097165","Dead Poets Society","Comedy, Drama","PG","2H8M"
"tt0353969","Memories of Murder","Crime, Drama, Mystery","Not Rated","2H12M"
"tt26548265","Maharaja","Action, Crime, Drama","","2H21M"
"tt0107207","In the Name of the Father","Biography, Crime, Drama","R","2H13M"
"tt0015864","The Gold Rush","Adventure, Comedy, Drama","Approved","1H35M"
"tt0198781","Monsters, Inc.","Animation, Adventure, Comedy","G","1H32M"
"tt3011894","Wild Tales","Comedy, Drama, Thriller","R","2H2M"
"tt0077416","The Deer Hunter","Drama, War","R","3H3M"
"tt0382932","Ratatouille","Animation, Adventure, Comedy","G","1H51M"
"tt0015324","Sherlock Jr.","Action, Comedy, Romance","Passed","45M"
"tt0073195","Jaws","Adventure, Drama, Thriller","PG","2H4M"
"tt0017925","The General","Action, Adventure, Comedy","Passed","1H18M"
"tt0892769","How to Train Your Dragon","Animation, Action, Adventure","PG","1H38M"
"tt0047296","On the Waterfront","Crime, Drama, Thriller","Approved","1H48M"
"tt0978762","Mary and Max","Animation, Comedy, Drama","Not Rated","1H32M"
